nodeId,xcoord,ycoord,floor,building,nodetype,type,longname,shortname,teamassigned,mapId,,,OldY
IDEPT01904,51186,46533,4,Faulkner,DEPT,LOC,Neurology,NEURO,I,Faulkner 4,,,
IDEPT01905,23689,81903,5,Faulkner,DEPT,LOC,Intensive Care Unit/Critical Care Unit east,ICUE,I,Faulkner 5,,,
IDEPT02004,49565,46533,4,Faulkner,DEPT,LOC,BD Cardiology,BDCARDIO,I,Faulkner 4,,,
IDEPT02005,7614,81081,5,Faulkner,DEPT,LOC,Intensive Care Unit/Critical Care Unit west,ICUW,I,Faulkner 5,,,
IDEPT02104,45475,28319,4,Faulkner,DEPT,LOC,Cardiology,CARDIO,I,Faulkner 4,,,
IDEPT02204,45687,21739,4,Faulkner,DEPT,LOC,HVMA Internal Medicine,HVMAINTMED,I,Faulkner 4,,,
IDEPT02304,53090,18213,4,Faulkner,DEPT,LOC,Gastroentology Associates,GASTRO,I,Faulkner 4,,,
IDEPT02404,55487,24206,4,Faulkner,DEPT,LOC,HVMA Neurology,HVMANEURO,I,Faulkner 4,,,
IDEPT02504,55558,29729,4,Faulkner,DEPT,LOC,Rheumatology Center,RHEUMA,I,Faulkner 4,,,
IELEV00101,48238,27379,1,Faulkner,ELEV,LOC,Elevator X,ELEVX,I,Faulkner 1,,,
IELEV00102,48296,27027,2,Faulkner,ELEV,LOC,Elevator X,ELEVX,I,Faulkner 2,,,
IELEV00103,48648,26556,3,Faulkner,ELEV,LOC,Elevator X,ELEVX,I,Faulkner 3,,,
IELEV00104,48366,27379,4,Faulkner,ELEV,LOC,Elevator X,ELEVX,I,Faulkner 4,,,
IELEV00105,48366,27144,5,Faulkner,ELEV,LOC,Elevator X,ELEVX,I,Faulkner 5,,,
IELEV00201,47110,78143,1,Faulkner,ELEV,LOC,Elevator Y,ELEVY,I,Faulkner 1,,,
IELEV00202,43219,76968,2,Faulkner,ELEV,LOC,Elevator Y,ELEVY,I,Faulkner 2,,,
IELEV00203,47379,77438,3,Faulkner,ELEV,LOC,Elevator Y,ELEVY,I,Faulkner 3,,,
IELEV00204,46603,78495,4,Faulkner,ELEV,LOC,Elevator Y,ELEVY,I,Faulkner 4,,,
IELEV00205,47168,78143,5,Faulkner,ELEV,LOC,Elevator Y,ELEVY,I,Faulkner 5,,,
IELEV00301,53810,76733,1,Faulkner,ELEV,LOC,Elevator Z,ELEVZ,I,Faulkner 1,,,
IELEV00302,54994,76145,2,Faulkner,ELEV,LOC,Elevator Z,ELEVZ,I,Faulkner 2,,,
IELEV00303,54148,77438,3,Faulkner,ELEV,LOC,Elevator Z,ELEVZ,I,Faulkner 3,,,
IELEV00304,53936,78143,4,Faulkner,ELEV,LOC,Elevator Z,ELEVZ,I,Faulkner 4,,,
IELEV00305,53936,78848,5,Faulkner,ELEV,LOC,Elevator Z,ELEVZ,I,Faulkner 5,,,
IEXIT00101,52995,38983,0,Faulkner,EXIT,LOC,Atrium Main Lobby,MENTR,I,Faulkner Lot,,,
IEXIT00201,40047,49270,0,Faulkner,EXIT,LOC,Emergency Entrance,EENTR,I,Faulkner Lot,,,
IHALL00102,30176,44535,2,Faulkner,Temp,POS,,,,Faulkner 2,,,
IHALL00103,46321,31022,3,Faulkner,Temp,POS,,,,Faulkner 3,,,
IHALL00104,46251,31727,4,Faulkner,Temp,POS,,,,Faulkner 4,,,
IHALL00105,46180,31727,5,Faulkner,Temp,POS,,,,Faulkner 5,,,
IHALL00201,44994,35017,1,Faulkner,Temp,POS,,,,Faulkner 1,,,
IHALL00202,29964,47591,2,Faulkner,Temp,POS,,,,Faulkner 2,,,
IHALL00203,46321,19976,3,Faulkner,Temp,POS,,,,Faulkner 3,,,
IHALL00204,46321,28672,4,Faulkner,Temp,POS,,,,Faulkner 4,,,
IHALL00205,46039,27262,5,Faulkner,Temp,POS,,,,Faulkner 5,,,
IHALL00301,45065,39717,1,Faulkner,Temp,POS,,,,Faulkner 1,,,
IHALL00302,29964,56639,2,Faulkner,Temp,POS,,,,Faulkner 2,,,
IHALL00303,48225,18448,3,Faulkner,Temp,POS,,,,Faulkner 3,,,
IHALL00304,46321,21739,4,Faulkner,Temp,POS,,,,Faulkner 4,,,
IHALL00305,46039,21269,5,Faulkner,Temp,POS,,,,Faulkner 5,,,
IHALL00401,46475,34782,1,Faulkner,Temp,POS,,,,Faulkner 1,,,
IHALL00402,30035,66039,2,Faulkner,Temp,POS,,,,Faulkner 2,,,
IHALL00403,50693,17861,3,Faulkner,Temp,POS,,,,Faulkner 3,,,
IHALL00404,46815,19976,4,Faulkner,Temp,POS,,,,Faulkner 4,,,
IHALL00405,47027,20094,5,Faulkner,Temp,POS,,,,Faulkner 5,,,
IHALL00501,48238,34547,1,Faulkner,Temp,POS,,,,Faulkner 1,,,
IHALL00502,29823,80728,2,Faulkner,Temp,POS,,,,Faulkner 2,,,
IHALL00503,52949,18096,3,Faulkner,Temp,POS,,,,Faulkner 3,,,
IHALL00504,50270,18801,4,Faulkner,Temp,POS,,,,Faulkner 4,,,
IHALL00505,50481,18801,5,Faulkner,Temp,POS,,,,Faulkner 5,,,
IHALL00601,50354,34547,1,Faulkner,Temp,POS,,,,Faulkner 1,,,
IHALL00602,32925,81198,2,Faulkner,Temp,POS,,,,Faulkner 2,,,
IHALL00603,54712,19036,3,Faulkner,Temp,POS,,,,Faulkner 3,,,
IHALL00604,53090,19271,4,Faulkner,Temp,POS,,,,Faulkner 4,,,
IHALL00605,51186,18683,5,Faulkner,Temp,POS,,,,Faulkner 5,,,
IHALL00701,51905,34900,1,Faulkner,Temp,POS,,,,Faulkner 1,,,
IHALL00702,45616,80846,2,Faulkner,Temp,POS,,,,Faulkner 2,,,
IHALL00703,55276,24206,3,Faulkner,Temp,POS,,,,Faulkner 3,,,
IHALL00704,54994,21034,4,Faulkner,Temp,POS,,,,Faulkner 4,,,
IHALL00705,52737,19506,5,Faulkner,Temp,POS,,,,Faulkner 5,,,
IHALL00801,53104,34900,1,Faulkner,Temp,POS,,,,Faulkner 1,,,
IHALL00802,45405,76733,2,Faulkner,Temp,POS,,,,Faulkner 2,,,
IHALL00803,55135,29729,3,Faulkner,Temp,POS,,,,Faulkner 3,,,
IHALL00804,54923,24324,4,Faulkner,Temp,POS,,,,Faulkner 4,,,
IHALL00805,54500,20681,5,Faulkner,Temp,POS,,,,Faulkner 5,,,
IHALL00901,56489,35252,1,Faulkner,Temp,POS,,,,Faulkner 1,,,
IHALL00902,49847,80493,2,Faulkner,Temp,POS,,,,Faulkner 2,,,
IHALL00903,55205,31492,3,Faulkner,Temp,POS,,,,Faulkner 3,,,
IHALL00904,54782,29847,4,Faulkner,Temp,POS,,,,Faulkner 4,,,
IHALL00905,54782,22796,5,Faulkner,Temp,POS,,,,Faulkner 5,,,
IHALL01001,59451,35017,1,Faulkner,Temp,POS,,,,Faulkner 1,,,
IHALL01002,49635,73560,2,Faulkner,Temp,POS,,,,Faulkner 2,,,
IHALL01003,50552,31609,3,Faulkner,Temp,POS,,,,Faulkner 3,,,
IHALL01004,54782,32314,4,Faulkner,Temp,POS,,,,Faulkner 4,,,
IHALL01005,54798,26958,5,Faulkner,Temp,POS,,,,Faulkner 5,,,
IHALL01101,50283,27379,1,Faulkner,Temp,POS,,,,Faulkner 1,,,
IHALL01102,56897,80846,2,Faulkner,Temp,POS,,,,Faulkner 2,,,
IHALL01103,50481,26204,3,Faulkner,Temp,POS,,,,Faulkner 3,,,
IHALL01104,50199,32197,4,Faulkner,Temp,POS,,,,Faulkner 4,,,
IHALL01105,54853,31844,5,Faulkner,Temp,POS,,,,Faulkner 5,,,
IHALL01201,50283,19976,1,Faulkner,Temp,POS,,,,Faulkner 1,,,
IHALL01202,56615,76145,2,Faulkner,Temp,POS,,,,Faulkner 2,,,
IHALL01203,49635,31609,3,Faulkner,Temp,POS,,,,Faulkner 3,,,
IHALL01204,50199,27144,4,Faulkner,Temp,POS,,,,Faulkner 4,,,
IHALL01205,50411,32197,5,Faulkner,Temp,POS,,,,Faulkner 5,,,
IHALL01301,50424,9518,1,Faulkner,Temp,POS,,,,Faulkner 1,,,
IHALL01302,57814,73913,2,Faulkner,Temp,POS,,,,Faulkner 2,,,
IHALL01303,48789,31609,3,Faulkner,Temp,POS,,,,Faulkner 3,,,
IHALL01304,50270,36897,4,Faulkner,Temp,POS,,,,Faulkner 4,,,
IHALL01305,50340,27027,5,Faulkner,Temp,POS,,,,Faulkner 5,,,
IHALL01401,56772,50058,1,Faulkner,Temp,POS,,,,Faulkner 1,,,
IHALL01402,57884,65452,2,Faulkner,Temp,POS,,,,Faulkner 2,,,
IHALL01403,48930,46063,3,Faulkner,Temp,POS,,,,Faulkner 3,,,
IHALL01404,50481,46415,4,Faulkner,Temp,POS,,,,Faulkner 4,,,
IHALL01405,50552,34077,5,Faulkner,Temp,POS,,,,Faulkner 5,,,
IHALL01501,74332,50293,1,Faulkner,Temp,POS,,,,Faulkner 1,,,
IHALL01502,58096,58636,2,Faulkner,Temp,POS,,,,Faulkner 2,,,
IHALL01503,45828,45710,3,Faulkner,Temp,POS,,,,Faulkner 3,,,
IHALL01504,50481,56874,4,Faulkner,Temp,POS,,,,Faulkner 4,,,
IHALL01505,50481,37250,5,Faulkner,Temp,POS,,,,Faulkner 5,,,
IHALL01601,56630,55699,1,Faulkner,Temp,POS,,,,Faulkner 1,,,
IHALL01602,57955,39835,2,Faulkner,Temp,POS,,,,Faulkner 2,,,
IHALL01603,50329,48311,3,Faulkner,Temp,POS,,,,Faulkner 3,,,
IHALL01604,50411,61809,4,Faulkner,Temp,POS,,,,Faulkner 4,,,
IHALL01605,50481,41715,5,Faulkner,Temp,POS,,,,Faulkner 5,,,
IHALL01701,50424,56051,1,Faulkner,Temp,POS,,,,Faulkner 1,,,
IHALL01702,57884,33372,2,Faulkner,Temp,POS,,,,Faulkner 2,,,
IHALL01703,50481,51233,3,Faulkner,Temp,POS,,,,Faulkner 3,,,
IHALL01704,50241,68428,4,Faulkner,Temp,POS,,,,Faulkner 4,,,
IHALL01705,50411,46298,5,Faulkner,Temp,POS,,,,Faulkner 5,,,
IHALL01801,50636,38072,1,Faulkner,Temp,POS,,,,Faulkner 1,,,
IHALL01802,54923,33254,2,Faulkner,Temp,POS,,,,Faulkner 2,,,
IHALL01803,50622,64629,3,Faulkner,Temp,POS,,,,Faulkner 3,,,
IHALL01804,50340,70387,4,Faulkner,Temp,POS,,,,Faulkner 4,,,
IHALL01805,50411,50293,5,Faulkner,Temp,POS,,,,Faulkner 5,,,
IHALL01901,43866,55934,1,Faulkner,Temp,POS,,,,Faulkner 1,,,
IHALL01902,54289,32197,2,Faulkner,Temp,POS,,,,Faulkner 2,,,
IHALL01903,50763,71680,3,Faulkner,Temp,POS,,,,Faulkner 3,,,
IHALL01904,50241,75778,4,Faulkner,Temp,POS,,,,Faulkner 4,,,
IHALL01905,50340,53113,5,Faulkner,Temp,POS,,,,Faulkner 5,,,
IHALL02001,38153,55934,1,Faulkner,Temp,POS,,,,Faulkner 1,,,
IHALL02002,54500,31139,2,Faulkner,Temp,POS,,,,Faulkner 2,,,
IHALL02003,50693,77085,3,Faulkner,Temp,POS,,,,Faulkner 3,,,
IHALL02004,50481,78495,4,Faulkner,Temp,POS,,,,Faulkner 4,,,
IHALL02005,50411,57696,5,Faulkner,Temp,POS,,,,Faulkner 5,,,
IHALL02101,50424,58636,1,Faulkner,Temp,POS,,,,Faulkner 1,,,
IHALL02102,54782,24676,2,Faulkner,Temp,POS,,,,Faulkner 2,,,
IHALL02103,48366,81668,3,Faulkner,Temp,POS,,,,Faulkner 3,,,
IHALL02104,50481,81551,4,Faulkner,Temp,POS,,,,Faulkner 4,,,
IHALL02105,50552,64277,5,Faulkner,Temp,POS,,,,Faulkner 5,,,
IHALL02201,50495,62397,1,Faulkner,Temp,POS,,,,Faulkner 1,,,
IHALL02202,54430,18683,2,Faulkner,Temp,POS,,,,Faulkner 2,,,
IHALL02203,50622,82138,3,Faulkner,Temp,POS,,,,Faulkner 3,,,
IHALL02204,57250,81551,4,Faulkner,Temp,POS,,,,Faulkner 4,,,
IHALL02205,50481,71210,5,Faulkner,Temp,POS,,,,Faulkner 5,,,
IHALL02301,50424,70387,1,Faulkner,Temp,POS,,,,Faulkner 1,,,
IHALL02302,50340,18918,2,Faulkner,Temp,POS,,,,Faulkner 2,,,
IHALL02303,50763,89071,3,Faulkner,Temp,POS,,,,Faulkner 3,,,
IHALL02304,59153,81668,4,Faulkner,Temp,POS,,,,Faulkner 4,,,
IHALL02305,50411,75205,5,Faulkner,Temp,POS,,,,Faulkner 5,,,
IHALL02401,50495,72150,1,Faulkner,Temp,POS,,,,Faulkner 1,,,
IHALL02402,50693,27027,2,Faulkner,Temp,POS,,,,Faulkner 2,,,
IHALL02404,63666,81903,4,Faulkner,Temp,POS,,,,Faulkner 4,,,
IHALL02405,52455,74853,5,Faulkner,Temp,POS,,,,Faulkner 5,,,
IHALL02501,50636,76380,1,Faulkner,Temp,POS,,,,Faulkner 1,,,
IHALL02502,50552,31844,2,Faulkner,Temp,POS,,,,Faulkner 2,,,
IHALL02504,68742,81786,4,Faulkner,Temp,POS,,,,Faulkner 4,,,
IHALL02505,52314,78495,5,Faulkner,Temp,POS,,,,Faulkner 5,,,
IHALL02601,50706,78378,1,Faulkner,Temp,POS,,,,Faulkner 1,,,
IHALL02602,56474,74030,2,Faulkner,Temp,POS,,,,Faulkner 2,,,
IHALL02604,71703,81786,4,Faulkner,Temp,POS,,,,Faulkner 4,,,
IHALL02605,52244,81903,5,Faulkner,Temp,POS,,,,Faulkner 5,,,
IHALL02701,56772,63924,1,Faulkner,Temp,POS,,,,Faulkner 1,,,
IHALL02702,57884,76145,2,Faulkner,Temp,POS,,,,Faulkner 2,,,
IHALL02704,74876,81668,4,Faulkner,Temp,POS,,,,Faulkner 4,,,
IHALL02705,94900,80963,5,Faulkner,Temp,POS,,,,Faulkner 5,,,
IHALL02801,56983,75205,1,Faulkner,Temp,POS,,,,Faulkner 1,,,
IHALL02804,77767,81551,4,Faulkner,Temp,POS,,,,Faulkner 4,,,
IHALL02805,49071,75205,5,Faulkner,Temp,POS,,,,Faulkner 5,,,
IHALL02901,57054,78613,1,Faulkner,Temp,POS,,,,Faulkner 1,,,
IHALL02904,79811,81668,4,Faulkner,Temp,POS,,,,Faulkner 4,,,
IHALL02905,48860,78260,5,Faulkner,Temp,POS,,,,Faulkner 5,,,
IHALL03001,82936,74970,1,Faulkner,Temp,POS,,,,Faulkner 1,,,
IHALL03004,81786,82021,4,Faulkner,Temp,POS,,,,Faulkner 4,,,
IHALL03005,48719,81551,5,Faulkner,Temp,POS,,,,Faulkner 5,,,
IHALL03101,94573,74735,1,Faulkner,Temp,POS,,,,Faulkner 1,,,
IHALL03104,85663,81668,4,Faulkner,Temp,POS,,,,Faulkner 4,,,
IHALL03105,38284,81551,5,Faulkner,Temp,POS,,,,Faulkner 5,,,
IHALL03204,89400,81668,4,Faulkner,Temp,POS,,,,Faulkner 4,,,
IHALL03205,32291,81316,5,Faulkner,Temp,POS,,,,Faulkner 5,,,
IHALL03304,92643,81551,4,Faulkner,Temp,POS,,,,Faulkner 4,,,
IHALL03305,27779,81551,5,Faulkner,Temp,POS,,,,Faulkner 5,,,
IHALL03404,44418,81668,4,Faulkner,Temp,POS,,,,Faulkner 4,,,
IHALL03405,25381,81551,5,Faulkner,Temp,POS,,,,Faulkner 5,,,
IHALL03504,40611,81433,4,Faulkner,Temp,POS,,,,Faulkner 4,,,
IHALL03505,6415,80846,5,Faulkner,Temp,POS,,,,Faulkner 5,,,
IHALL03604,36733,82138,4,Faulkner,Temp,POS,,,,Faulkner 4,,,
IHALL03704,27849,81903,4,Faulkner,Temp,POS,,,,Faulkner 4,,,
IHALL03804,17978,82491,4,Faulkner,Temp,POS,,,,Faulkner 4,,,
IHALL03904,12479,82021,4,Faulkner,Temp,POS,,,,Faulkner 4,,,
IKIOS00101,55291,15276,1,Faulkner,KIOS,LOC,Navigation Kiosk,KIOSK,I,Faulkner 1,,,
ILAB00101,44077,39835,1,Faulkner,LAB,LOC,Blood Draw Lab,BDLAB,I,Faulkner 1,,,
ILAB00105,49706,64394,5,Faulkner,LAB,LOC,X-Ray,XRAY,I,Faulkner 5,,,
ILAB00201,51412,58284,1,Faulkner,LAB,LOC,PULM Lab,PULMLAB,I,Faulkner 1,,,
ILAB00301,51341,62162,1,Faulkner,LAB,LOC,VASC Lab,VASCLAB,I,Faulkner 1,,,
ILAB00401,59028,78613,1,Faulkner,LAB,LOC,LAB,LAB,I,Faulkner 1,,,
IPARK00101,52351,30410,0,Faulkner,Temp,POS,,,,Faulkner Lot,,,
IPARK00201,53209,30542,0,Faulkner,Temp,POS,,,,Faulkner Lot,,,
IPARK00301,52446,29763,0,Faulkner,Temp,POS,,,,Faulkner Lot,,,
IPARK00401,53196,29697,0,Faulkner,Temp,POS,,,,Faulkner Lot,,,
IPARK00501,52474,28985,0,Faulkner,Temp,POS,,,,Faulkner Lot,,,
IPARK00601,53155,29034,0,Faulkner,Temp,POS,,,,Faulkner Lot,,,
IPARK00701,50213,30277,0,Faulkner,Temp,POS,,,,Faulkner Lot,,,
IPARK00801,49573,30244,0,Faulkner,Temp,POS,,,,Faulkner Lot,,,
IPARK00901,48673,30164,0,Faulkner,Temp,POS,,,,Faulkner Lot,,,
IPARK01001,50308,29067,0,Faulkner,Temp,POS,,,,Faulkner Lot,,,
IPARK01101,49614,29084,0,Faulkner,Temp,POS,,,,Faulkner Lot,,,
IPARK01201,48892,29084,0,Faulkner,Temp,POS,,,,Faulkner Lot,,,
IPARK01301,16597,38912,0,Faulkner,PARK,LOC,Western Parking 1,WPARK001,I,Faulkner Lot,,,
IPARK01401,16582,39733,0,Faulkner,PARK,LOC,Western Parking 2,WPARK002,I,Faulkner Lot,,,
IPARK01501,16582,40387,0,Faulkner,PARK,LOC,Western Parking 3,WPARK003,I,Faulkner Lot,,,
IPARK01601,15753,38930,0,Faulkner,PARK,LOC,Western Parking 4,WPARK004,I,Faulkner Lot,,,
IPARK01701,15722,39659,0,Faulkner,PARK,LOC,Western Parking 5,WPARK005,I,Faulkner Lot,,,
IPARK01801,15691,40425,0,Faulkner,PARK,LOC,Western Parking 6,WPARK006,I,Faulkner Lot,,,
IPARK01901,16786,43262,0,Faulkner,PARK,LOC,Western Parking 7,WPARK007,I,Faulkner Lot,,,
IPARK02001,16219,43262,0,Faulkner,PARK,LOC,Western Parking 8,WPARK008,I,Faulkner Lot,,,
IPARK02101,15624,43262,0,Faulkner,PARK,LOC,Western Parking 9,WPARK009,I,Faulkner Lot,,,
IPARK02201,15680,43831,0,Faulkner,PARK,LOC,Western Parking 10,WPARK010,I,Faulkner Lot,,,
IPARK02301,16233,43865,0,Faulkner,PARK,LOC,Western Parking 11,WPARK011,I,Faulkner Lot,,,
IPARK02401,16758,43865,0,Faulkner,PARK,LOC,Western Parking 12,WPARK012,I,Faulkner Lot,,,
IPARK02501,16857,47056,0,Faulkner,PARK,LOC,Western Parking 13,WPARK013,I,Faulkner Lot,,,
IPARK02601,16247,47107,0,Faulkner,PARK,LOC,Western Parking 14,WPARK014,I,Faulkner Lot,,,
